ltable_title,rtable_title,ltable_authors,rtable_authors,ltable_venue,rtable_venue,ltable_year,rtable_year
the ccube constraint object-oriented database system,wk im . multimedia information management in an object-oriented database system,a brodsky;v segal;j chen;p exarkhopoulo,d woelk,sigmod conference,proc . very large data bases,1999,1997.6
report on the first international conference on ontologies;databases and applications of semantics,report on the 1st international symposium on the applications of constraint databases ( cdbÃ¢ ?? 04 ),,b kuijpers;p revesz,,sigmod record,2003,2005
an effective deductive object-oriented database through language integration,an object-oriented deductive language with methods and method inheritance,m barja;n paton;a fernandes;m williams;a dinn,y lou;zm ozsoyoglu,vldb,proceedings of the acm sigmod intl. conf . on management of,1994,1997.6
report on first international workshop on real-time database systems,nsf workshop on industrial/academic cooperation in database systems,,m carey;l seligman,,sigmod record,1996,1999
birch : an efficient data clustering method for very large databases,f [ 22 ] zhang;t.;ramakrishnan;r.;and linvy;m. ( 1996 ) . birch : an efficient data clustering method,t zhang;r ramakrishnan;m livny,kl clarkson,sigmod conference,proc . acm sigmod intÃ¢ ?? l con,1996,1997.6
on the costs of multilingualism in database systems,a theory of global control in multidatabase systems,a kumaran;j haritsa,a zhang;ak elmagarmid,vldb,the vldb,2003,1997.6
interviso : dealing with the complexity of federated database access,on the complexity of database queries,m templeton;h henley;e maros;d buer,ch papadimitriou;m yannakakis,vldb j.,,1995,1997.6
expressing business rules,expressing negation,r ross,w ladusaw,sigmod conference,proceedings of salt,2000,1992
caching strategies for data-intensive web sites,caching strategies for data-intensive web sites,k yagoub;d florescu;v issarny;p valduriez,d florescu,vldb,,2000,1997.6
query unnesting in object-oriented databases,an overview of vertical partitioning in object oriented databases,l fegaras,gs chinchwadkar;a goh,sigmod conference,the computer journal,1998,1999
towards an odmg-compliant visual object query language,towards an odmg-compliant visual object query language,m chavda;p wood,m chavda;pt wood,vldb,vldb,1997,1997
the new middleware,too much middleware,r finkelstein,m stonebraker,sigmod record,sigmod record,1995,2002
a data model and data structures for moving objects databases,domino : databases for moving objects tracking,l forlizzi;r gÑœting;e nardelli;m schneider,o wolfson,sigmod conference,sigmod conference,2000,1999
minimization of tree pattern queries,minimization of tree pattem queries,s amer-yahia;s cho;l lakshmanan;d srivastava,sa yahia;s cho;lvs lakshmananÃ¢ ? Â¦,sigmod conference,proc of the acm sigmod,2001,1997.6
logical and physical versioning in main memory databases,logical and physical versioning in main memory databases,r rastogi;s seshadri;p bohannon;d leinbaugh;a silberschatz;s sudarshan,pbdwl abraham;sssr rastogi;s seshadri,vldb,,1997,1997
guest editorial,guest editorial,,s chaudhuri,,data mining and knowledge discovery,2002,2000
overview of the special section on temporal database infrastructure,overview of the jasmin database machine,r snodgrass,dh fishman;my lai;wk wilkinson,sigmod record,proceedings of the 1984 acm sigmod international conference & hellip,1994,1984
an efficient algorithm for mining association rules in large databases,efficient mining for fuzzy implication-based association rules in quantitative databases,a savasere;e omiecinski;s navathe,g chen;p yan;ee kerre,vldb,international journal of general systems,1995,2004
static detection of security flaws in object-oriented databases,object-oriented querrying of existing relational databases,k tajima,da keim;hp kriegel;a miethsam,sigmod conference,,1996,1997.6
a taxonomy for secure object-oriented databases,semanticmodelling of object-oriented databases,m olivier;s solms,mbe m & de,acm trans . database syst .,hoe . vldb,1994,1997.6
editor ¡¯s notes,editor ¡¯s notes,,r goldstein,,the american statistician,1997,1996
indexing large metric spaces for similarity search queries,new neighbor search in large metric space,t bozkaya;z Ð¶zsoyoglu,s brin,acm trans . database syst .,proceedings of the,1999,1997.6
fast nearest neighbor search in medical image databases,similarity searching in medical image databases,f korn;n sidiropoulos;c faloutsos;e siegel;z protopapas,egm petrakis;c faloutsos,vldb,,1996,1997.6
the generalized pre-grouping transformation : aggregate-query optimization in the presence of dependencies,query optimization in the presence of foreign functions,a tsois;t sellis,s chaudhuri;k shim,vldb,proceedings of the international conference on very large & hellip,2003,1993
the demarcation protocol : a technique for maintaining constraints in distributed database systems,implementation techniques for main memory database systems,d barbarÑ;h garcia-molina,dj dewitt;rh katz;f olken;ld shapiro;mr,vldb j.,proceedings of the 1984 acm sigmod international conference & hellip,1994,1984
the design of an acquisitional query processor for sensor networks,tinydb : an acquisitional query processing system for sensor networks . preliminary release of an,s madden;m franklin;j hellerstein;w hong,s madden;m franklin;j hellerstein;w hong,sigmod conference,database,2003,1997.6
lh * rs : a high-availability scalable distributed data structure using reed solomon codes,$ \ \ big . { \ \ rm { lh } } ^ { \ \ ast } \ \ _ { { \ \ rm { rs } } } \ \ bigr . $ : a high-availability scalable distributed data,w litwin;t schwarz,w litwin;t schwarz,sigmod conference,proc . acm-sigmod-2000 int &#39; l conf . management of data,2000,1997.6
automated selection of materialized views and indexes in sql databases,efficient materialization and use of views in data warehouses,s agrawal;s chaudhuri;v narasayya,mf de souza;mc sampaio,vldb,sigmod record,2000,1999
a system for watermarking relational databases,watermarking relational databases,r agrawal;p haas;j kiernan,r agrawal;j kiernan,sigmod conference,vldb,2003,2002
managing distributed workspaces with active xml,managing distributed workspaces with active xml,s abiteboul;j baumgarten;a bonifati;g cobena;c cremarenco;f dragan;i manolescu;t milo;n preda,s abiteboul;j baumgarten;a bonifati;g cobena;c,vldb,proceedings of the international conference on very large & hellip,2003,2003
sql standardization : the next steps,sql standardization : the next steps,a eisenberg;j melton,c attractions,sigmod record,sigmod record,2000,2000
a system for watermarking relational databases,hierarchical schemata for relational databases,r agrawal;p haas;j kiernan,ye lien,sigmod conference,acm transactions on database systems ( tods ),2003,1981
quest : a project on database mining,tutorial database mining,r agrawal;m carey;c faloutsos;s ghosh;m houtsma;t imielinski;b iyer;a mahboob;h miranda;r srikant;a swami,r agrawal,sigmod conference,proceedings of the thirteenth acm sigact-sigmod-sigart & hellip,1994,1994
turbo-charging vertical mining of large databases,towards on-line analytical mining in large databases,p shenoy;j haritsa;s sudarshan;g bhalotia;m bawa;d shah,h jiawei,sigmod conference,acm sigmod record,2000,1997.6
report on the 1995 international workshop on temporal databases,incomplete information in relational temporal databases,,k shashi,,proc . of the 18th vldb conference,1995,1997.6
the glue-nail deductive database system : design;implementation;and evaluation,theglue-naildeductivedatabasesystem : design;implementation;and evaluation,m derr;s morishita;g phipps,ma derr;s morishita;g phipps,vldb j.,vldb journal,1994,1997.6
an annotated bibliography on real-time database systems,secure concurrency control in firm real-time database systems,Ð¶ ulusoy,b george;jr haritsa,sigmod record,distributed and parallel databases,1995,2000
towards an effective calculus for object query languages,optimizing object queries using an effective calculus,l fegaras;d maier,l fegaras;d maier,sigmod conference,acm transactions on database systems,1995,2000
constructing efficient decision trees by using optimized numeric association rules,communication-efficient distributed mining of association rules,t fukuda;y morimoto;s morishita;t tokuyama,a schuster;r wolff,vldb,data mining and knowledge discovery,1996,2004
incremental maintenance of views with duplicates,incremental maintenance of schema-restructuring views in schemasql,t griffin;l libkin,a koeller;ea rundensteiner,sigmod conference,knowledge and data engineering;ieee transactions on,1995,2004
cure : an efficient clustering algorithm for large databases,an algorithm for answering queries efficiently using views,s guha;r rastogi;k shim,p mitra,sigmod conference,,1998,1997.6
birch : an efficient data clustering method for very large databases,an efficient structure for string databases,t zhang;r ramakrishnan;m livny,t kahveci;ak singh,sigmod conference,vldb;rome;september,1996,1997.6
revisiting commit processing in distributed database systems,application specification for distributed data base systems,r gupta;j haritsa;k ramamritham,pg hebalkar,sigmod conference,vldb,1997,1978
the xxl search engine : ranked retrieval of xml data using indexes and ontologies,the xxl search engine : ranked retrieval of xml data using indexes and ontologies,a theobald;g weikum,a theobald;g weikum,sigmod conference,sigmod conference,2002,2002
answering queries with aggregation using views,answering queries with aggregation using views,d srivastava;s dar;h jagadish;a levy,s dar;hv jagadish;ay levy;d srivastava,vldb,vldb conf.;bombay,1996,1997.6
converting relational to object-oriented databases,the o 2 object-oriented database system,j fong,f bancilhon,sigmod record,proceedings of the 1992 acm sigmod-international conference,1997,1997.6
materialized view and index selection tool for microsoft sql server 2000,automated selection of materialized views and indexes in microsoft sql server,s agrawal;s chaudhuri;v narasayya,s agrawal;s chaudhuri;v narasayya,sigmod conference,proc . of,2001,1997.6
